"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","USD","A","1970",26.793218,
"AUS","GDPHRWKD","TOT","USD","A","1971",27.462937,
"AUS","GDPHRWKD","TOT","USD","A","1972",28.067364,
"AUS","GDPHRWKD","TOT","USD","A","1973",28.645413,
"AUS","GDPHRWKD","TOT","USD","A","1974",28.189555,
"AUS","GDPHRWKD","TOT","USD","A","1975",29.232949,
"AUS","GDPHRWKD","TOT","USD","A","1976",29.720941,
"AUS","GDPHRWKD","TOT","USD","A","1977",29.687325,
"AUS","GDPHRWKD","TOT","USD","A","1978",30.939895,

"ROU","GDPHRWKD","TOT","USD","A","2008",21.373296,
"ROU","GDPHRWKD","TOT","USD","A","2009",20.631228,
"ROU","GDPHRWKD","TOT","USD","A","2010",20.183338,
"ROU","GDPHRWKD","TOT","USD","A","2011",20.392824,
"ROU","GDPHRWKD","TOT","USD","A","2012",22.861377,
"ROU","GDPHRWKD","TOT","USD","A","2013",23.941666,
"ROU","GDPHRWKD","TOT","USD","A","2014",24.76218,
"ROU","GDPHRWKD","TOT","USD","A","2015",26.149495,
"ROU","GDPHRWKD","TOT","USD","A","2016",27.359434,
"ROU","GDPHRWKD","TOT","USD","A","2017",28.761889,
